id , phrase
613  , MARY BENNET
614  , MARY JANE & PETER
615  , MARY POPPINS
616  , MARY RICHARDS
617  , MATILDA
618  , MAUDE FLANDERS
619  , MAX & THE WILD THINGS
620  , MAXWELL SMART
621  , ME PERFECT
622  , MEADOW AND AJ SOPRANO
623  , MEG MURRY & CALVIN O'KEEFE
624  , MEG MURRY AND CALVIN O'KEEFE
625  , MEPHISTO
626  , MERLIN
627  , MERLIN THE MAGICIAN
628  , MICHAEL MYERS
629  , MICKEY & MINNIE MOUSE
630  , MICKEY MOUSE
631  , MICKEY MOUSE & PLUTO
632  , MIGHTY MORPHIN POWER RANGERS
633  , MIGHTY MOUSE
634  , MIKE DOONESBURY
635  , MIKE WAZOWSKI
636  , MILES MORALES
637  , MINERVA & NEPTUNE
638  , MINERVA MCGONAGALL
639  , MINNIE MOUSE
640  , MINNIE MOUSE AND MICKEY MOUSE
641  , MINOTAUR
642  , MINOTAURS & DRAGONS
643  , MIRANDA HOBBES
644  , MIRANDA TATE
645  , MIRROR MAN
646  , MIRROR MASTER
647  , MISS MARPLE
648  , MISS PIGGY
649  , MISS SCARLET & COLONEL MUSTARD
650  , MISTER IMMORTAL
651  , MISTER SINISTER
652  , MOLLY WEASLEY
653  , MOLTEN MAN
654  , MOON JELLIES
655  , MORGANA PENDRAGON
656  , MORGANA THE SORCERESS
657  , MORRIS THE CAT
658  , MORTICIA & GOMEZ ADAMS
659  , MORTICIA & GOMEZ ADDAMS
660  , MOTHER EARTH
661  , MOTHER GOOSE
662  , MOTHER NATURE
663  , MOUNTAIN TROLL
664  , MR BIG
665  , MR BUBBLE
666  , MR DARCY
667  , MR FANTASTIC
668  , MR INCREDIBLE
669  , MR MAGOO
670  , MR POOPER
671  , MR SPOCK
672  , MRS CLAUS
673  , MRS MALAPROP
674  , MULAN
675  , MULDER & SCULLY
676  , MURPHY BROWN
677  , MUSE OF ASTRONOMY
678  , MUTANT X
679  , MUTANT-HUNTING ROBOT SENTINEL
680  , MUTANT-HUNTING ROBOT SENTINELS
681  , MY FAVORITE SUPERHERO
682  , MYSTIQUE & SABRETOOTH
683  , MYTHICAL BEAST
684  , MYTHICAL BEASTS
685  , MYTHICAL GODDESS ATHENA
686  , MYTHOLOGICAL ANIMALS
687  , MYTHOLOGICAL CREATURE
688  , MYTHOLOGICAL GOD ZEUS
689  , MYTHOLOGICAL HERO HERCULES
690  , NANCY & SLUGGO
691  , NANCY DREW
692  , NAOMI & WYNONNA JUDD
693  , NATHAN DRAKE
694  , NATHAN WINTERS
695  , NAUSICAA
696  , NAUSSICAA
697  , NEPTUNE
698  , NEPTUNE GOD OF THE SEA
699  , NEW TEEN TITANS
700  , NICK FURY
701  , NIGHTCRAWLER
702  , NIGHTCRAWLER & CYCLOPS
703  , NINJA WARRIOR
704  , NIPPER THE RCA DOG
705  , NORMAN OSBORN
706  , NOTORIOUS VILLAINS
707  , NUMBER SIX
708  , NYMPHS & CENTAURS
709  , OBI-WAN KENOBI
710  , ODIN & THOR
711  , ODYSSEUS & THE CYCLOPS
712  , ODYSSEUS?AND?THE CYCLOPS?
713  , OGRES & GIANTS
714  , OLAF THE SNOWMAN
715  , OLD KING COLE
716  , OLD MOTHER HUBBARD
717  , OLIVE OYL
718  , OLIVER TWIST
719  , OLYMPIAN GODS
720  , ONE-EYED CYCLOPS
721  , OPUS THE PENGUIN
722  , ORORO MUNROE
723  , OSCAR THE GROUCH
724  , OZYMANDIAS
725  , PAC-MAN
726  , PAC-MAN & MS PAC-MAN
727  , PAC-MAN GHOSTS
728  , PADDINGTON BEAR
729  , PAGAN GODS
730  , PANDORA
731  , PAPA & BRAINY SMURF
732  , PAPA SMURF
733  , PAPA SMURF & GROUCHY SMURF
734  , PAPA SMURF & SMURFETTE
735  , PAPA SMURF & THE SMURFETTE
736  , PARADISE VALLEY MONTANA
737  , PARANORMAL INVESTIGATION TEAM
738  , PARK MASCOT
739  , PATRICK STAR AND SQUIDWARD TENTACLES
740  , PAUL BLART
741  , PAUL BUNYAN
742  , PEBBLES & BAM BAM
743  , PEGASUS
744  , PEGASUS THE WINGED HORSE
745  , PEGGY OLSON
746  , PENANCE
747  , PEPE LE PEW
748  , PEPPERMINT PATTY
749  , PERRY MASON
750  , PERSEPHONE
751  , PERSEPHONE THE GODDESS QUEEN OF THE UNDERWORLD
752  , PETER & LOIS GRIFFIN
753  , PETER COTTONTALE
754  , PETER PAN
755  , PETER PARKER
756  , PETER PARKER AND MARY JANE WATSON
757  , PETER PETER PUMPKIN EATER
758  , PETER PIPER
759  , PETER RABBIT
760  , PHANTOM OF THE OPERA
761  , PHIL & CLAIRE FOSTER
762  , PHOENIX FORCE
763  , PIGLET & EEYORE
764  , PIGPEN
765  , PINOCCHIO
766  , PINOCCHIO & GEPPETTO
767  , PIPPI LONGSTOCKING
768  , PIT ROAST
769  , PLAYFUL ELVES
770  , POCAHONTAS
771  , POKEMON
772  , POLLYANNA
773  , POLYPHEMUS
774  , POPEYE THE SAILOR MAN
775  , PORKY & PETUNIA PIG
776  , PORKY PIG
777  , POSEIDON
778  , POWERPUFF GIRLS
779  , PRANCER & VIXEN
780  , PRAYING MANTIS
781  , PRINCE CHARMING
782  , PRINCE PHILLIP
783  , PRINCE VALIANT
784  , PRINCESS JASMINE
785  , PRINCESS LEIA
786  , PRINCESS PEACH
787  , PRINCIPAL SKINNER
788  , PRODIGY & SQUIRREL GIRL
789  , PROFESSOR DUMBLEDORE
790  , PROFESSOR PLUM & MRS PEACOCK
791  , PROFESSOR PLUM & MRS PEACOCK
792  , PROFESSOR X
793  , PROFESSOR ZOOM
794  , PROTEUS
795  , PSYCHE & EROS
796  , PUFF THE MAGIC DRAGON
797  , PUNISHER
798  , PUNKY BREWSTER
799  , PUNXSUTAWNEY PHIL
800  , QUEEN GUINEVERE
801  , QUEEN OF HEARTS
802  , QUICK DRAW MCGRAW
803  , QUICKSILVER
804  , QUINT
805  , RADAR O'REILLY
806  , RAGGEDY ANN
807  , RAGGEDY ANN & ANDY
808  , RAINBOW BRITE
809  , RAMBO
810  , RAPUNZEL
811  , RAYMOND BABBITT
812  , RED RAVEN
813  , RED SKULL
814  , REED RICHARDS
815  , RHETT BUTLER & SCARLETT O'HARA
816  , RHETT BUTLER AND SCARLETT O'HARA
817  , RHETT BUTTLER &SCARLETT O'HARA
818  , RICHIE RICH
819  , RIN TIN TIN
820  , RIP VAN WINKLE
821  , ROAD RUNNER
