id , phrase
573 , SAN MIGUEL CHAPEL
574 , SAN RAFAEL MOUNTAINS
575 , SANTA FE NATIONAL HISTORIC TRAIL
576 , SANTA MONICA PIER
577 , SARATOGA NATIONAL FISH HATCHERY
578 , SCENIC RADNOR LAKE
579 , SCOTT MONUMENT
580 , SCOTTISH POETRY LIBRARY
581 , SEATTLE'S SPACE NEEDLE
582 , SECOND CITY IN CHICAGO
583 , SEOUL CITY WALL
584 , SEQUOIA NATIONAL PARK
585 , SERENGETI NATIONAL PARK
586 , SERRA DE ESTRELA
587 , SEWER MUSEUM
588 , SHANGHAI CLUB BUILDING
589 , SHANGHAI HISTORY MUSEUM
590 , SHANGHAI ORIENTAL ARTS CENTER
591 , SHANGHAI TOWER
592 , SHANGHAI WORLD FINANCIAL CENTER
593 , SHEA STADIUM
594 , SILVER DOLLAR CITY IN MISSOURI
595 , SISTINE CHAPEL
596 , SITKA NATIONAL HISTORICAL PARK
597 , SKY HARBOR INTERNATIONAL AIRPORT
598 , SKY HARBOUR INTERNATIONAL AIRPORT
599 , SLIDE ROCK STATE PARK
600 , SMITH CENTER FOR THE PERFORMING ARTS
601 , SMOKEY BEAR HISTORICAL PARK
602 , SOLAR BOAT MUSEUM
603 , SOUTH FLORIDA MUSEUM
604 , SOUTH FRANKLIN STREET
605 , SOUTH RIM GRAND CANYON
606 , SOUTH STREET SEAPORT
607 , SOUTHWORTH PLANETARIUM
608 , SPECTACULAR SHARK BAY
609 , SPRECKELS LAKE
610 , SPRING POINT LEDGE LIGHTHOUSE
611 , SPRINGWATER CORRIDOR
612 , ST GEORGE'S CASTLE
613 , ST KEVIN'S CHURCH
614 , ST MARY'S CATHEDRAL
615 , ST PETER'S SQUARE
616 , ST PIERRE CATHEDRAL
617 , ST STEPHEN'S CATHEDRAL
618 , ST STEPHENS CATHEDRAL
619 , STAPLES CENTER
620 , STAPLES CENTER IN LOS ANGELES
621 , STATUE OF LIBERTY
622 , STONE MOUNTAIN
623 , STONEHENGE
624 , STONEHENGE WILTSHIRE
625 , STRATTON MOUNTAIN
626 , SUEZ CANAL
627 , SUGARLOAF MOUNTAIN
628 , SUN LIFE STADIUM
629 , SUN STUDIO IN MEMPHIS TENNESSEE
630 , SUNDIAL BRIDGE
631 , SUNSET TOWER HOTEL
632 , SURGEONS' HALL MUSEUM
633 , SUTRO TOWER
634 , SWISS MUSEUM OF TRANSPORT
635 , SYDNEY OPERA HOUSE
636 , SYDNEY TOWER
637 , SYMPHONY PARK
638 , TAJ MAHAL
639 , TANNER SPRINGS PARK
640 , TATON DUNES
641 , TCL CHINESE THEATRE
642 , TEMPLE MOUNT
643 , TEMPLE OF ATHENA NIKE
644 , TEMPLO MAYOR
645 , TERRACE HILL
646 , THE ACROPOLIS
647 , THE ALICE IN WONDERLAND STATUE
648 , THE ANDES MOUNTAINS
649 , THE ANDY WARHOL MUSEUM
650 , THE ANNE FRANK HOUSE
651 , THE APOLLO THEATER
652 , THE ARGENTINA NATIONAL CONGRESS
653 , THE ARGENTINE NATIONAL CONGRESS
654 , THE ASSEMBLY ROOMS
655 , THE BELGIAN COMIC STRIP MUSEUM
656 , THE BETSY ROSS HOUSE
657 , THE BLACK CANYON OF THE COLORADO RIVER
658 , THE BLARNEY STONE
659 , THE BLUE MOSQUE IN ISTANBUL
660 , THE BOARDWALK IN ATLANTIC CITY
661 , THE BRIDGES OF MADISON COUNTY
662 , THE BROOKLYN BRIDGE
663 , THE CATHEDRAL OF LEARNING
664 , THE CATHEDRAL OF LIMA
665 , THE CATHEDRAL OF OUR LADY OF CHARTRES
666 , THE CHURCHILL HOTEL
667 , THE CLEMENTE MUSEUM
668 , THE COLORADO TRAIL
669 , THE COLOSSEUM
670 , THE COMEDY STORE
671 , THE COMEDY STORE IN WEST HOLLYWOOD
672 , THE CORNELL FINE ARTS MUSEUM
673 , THE EIFFEL TOWER
674 , THE ELIZABETH TOWER
675 , THE EMPIRE STATE BUILDING
676 , THE EVERGLADES
677 , THE FAMINE MEMORIAL
678 , THE FANTASTIC PIT IN GEORGIA
679 , THE FLORAL CLOCK
680 , THE FORBIDDEN CITY
681 , THE FRANKLIN INSTITUTE
682 , THE FREEDOM TRAIL IN BOSTON
683 , THE FRENCH MARKET
684 , THE GARDEN OF THE FIVE SENSES
685 , THE GIANT FOREST
686 , THE GRAND CANYON
687 , THE GREAT CLOCK
688 , THE GREAT PYRAMIDS
689 , THE GREAT WALL OF CHINA
690 , THE HERMITAGE
691 , THE HIMALAYA MOUNTAINS
692 , THE HOCKEY HALL OF FAME
693 , THE HOCKEY WALL OF FAME
694 , THE HOLLYWOOD SIGN
695 , THE IMPROV IN LOS ANGELES
696 , THE KENTUCKY DERBY AT CHURCHILL DOWNS
697 , THE LIBERTY BELL
698 , THE LIBRARY OF CONGRESS
699 , THE LINCOLN MEMORIAL
700 , THE LION MONUMENT
701 , THE LONDON PALLADIUM
702 , THE LOUVRE MUSEUM
703 , THE MATTERHORN
704 , THE METROPOLITAN MUSEUM OF ART
705 , THE MILLENNIUM BRIDGE
706 , THE MOB MUSEUM
707 , THE MUSEUM OF ITALIAN ART
708 , THE MUSEUM OF THE INDIAN
709 , THE MUSEUM OF THE NATION
710 , THE NATIONAL ARCHIVES MUSEUM
711 , THE NATIONAL AUTONOMOUS UNIVERSITY OF MEXICO
712 , THE NATIONAL GALLERY IN LONDON
713 , THE NATIONAL GARDENS
714 , THE NEW TOWN HALL
715 , THE PALACE OF NATIONS
716 , THE PANAMA CANAL
717 , THE PARAMOUNT THEATER
718 , THE PARTHENON
719 , THE PAVILION OF LISTENING TO BILLOWS
720 , THE PENTAGON
721 , THE PINNACLE
722 , THE PUNK ROCK MUSEUM
723 , THE RUINS OF ST PAUL
724 , THE SHANGHAI INTERNATIONAL CIRCUIT
725 , THE SISTINE CHAPEL
726 , THE SMITHSONIAN CASTLE
727 , THE SPHINX
728 , THE STATUE OF ST THEODORE
729 , THE STEADPARK VIENNA
730 , THE STONE HOUSE IN FOREST PARK
731 , THE STRAND ARCADE
732 , THE STRATOSPHERE TOWER
733 , THE SWISS NATIONAL PARK
734 , THE TEXAS STATE CAPITOL
735 , THE TREVI FOUNTAIN
736 , THE UNIVERSITY OF MAINE
737 , THE WAILING WALL
738 , THE WALDORF ASTORIA HOTEL
739 , THE WEEPING TOWER
